DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2018,94.1,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2018,,,EOF: End of fieldwork,,2008-2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,98.5,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Ministerio de Salud (MS); Instituto Nacional de Estadística y Censos (INEC) y Fondo de las Naciones Unidas para la Infancia (UNICEF). Encuesta de Mujeres; Niñez y Adolescencia (EMNA); Informe de resultados de la encuesta 2018. San José; Costa Rica; 2020. (in Spanish),Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CRI: Costa Rica,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,99,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Estadísticas Vitales 2019: Población; Nacimientos Defunciones y Matrimonios [recurso electrónico] / Instituto Nacional de Estadística y Censos.—2019. San José; Costa. : INEC; 2020- 151 p. : digital; archivo PDF,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,HRV: Croatia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2018,97.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,n Institute for Public Health 2018,,,EOF: End of fieldwork,,2014-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,HRV: Croatia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2020,97.5,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Croatian Institute for Public Health; report: Childbirths in healthcare institutions in 2020; page 5; Figure 3. Mothers according to the number of examinations in pregnancy in 2020,,,EOF: End of fieldwork,,2014-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,HRV: Croatia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2021,97,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Croatian Institute for Public Health; report: Childbirths in healthcare institutions in 2021; page 11; Figure 3. The number of examinations in pregnancy in 2021,,,EOF: End of fieldwork,,2014-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,HRV: Croatia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,99.9,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Natural Change in Population; 2019. Zagreb: Croatian Bureau of Statistics; 2020.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2019,79.3,0: Units,PCNT: %,RP: Reported,F: Free,,,,The total includes 27 adolescents and women between the ages of 15 and 49 with a live-born child in the last 2 years without weighting from la Isla de la Juventud.,,Multiple Indicator Cluster Survey 2019,,,EOF: End of fieldwork,,2009-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,99.9,0: Units,PCNT: %,RP: Reported,F: Free,,,,Institutional Birth (IB): includes all deliveries that occurred at a health facility,,Anuario Estadístico de Salud 2018. La Habana: Dirección de Registros Médicos y Estadísticas de Salud; Ministerio de Salud Pública de Cuba; 2019 (in Spanish).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CUB: Cuba,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,100,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Cuba Encuesta de Indicadores Múltiples por Conglomerados 2019; Informe de resultados de la encuesta. La Habana: Dirección de Registros Médicos y Estadísticas de Salud; 2020 (in Spanish).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CYP: Cyprus,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,98.3,0: Units,PCNT: %,RP: Reported,F: Free,,,,Institutional Birth (IB): includes all deliveries that occurred at a health facility,,Births; deaths; migration 1974-2018. Table C17: Live births by place of occurrence; 1985-2018. Nicosia: Statistical Service [Republic of Cyprus]; 2019 (https://www.mof.gov.cy/mof/cystat/statistics.nsf/populationcondition_21main_en/populationcondition_21main_en?OpenForm&sub=1&sel=2; accessed 5 February 2020).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CYP: Cyprus,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,99.3,0: Units,PCNT: %,RP: Reported,F: Free,,,,Institutional Birth (IB): includes all deliveries that occurred at a health facility,,Births; deaths; migration 1974-2019. Table C17: Live births by place of occurrence; 1985-2019. Nicosia: Statistical Service [Republic of Cyprus]; 2020 (https://www.mof.gov.cy/mof/cystat/statistics.nsf/populationcondition_21main_en/populationcondition_21main_en?OpenForm&sub=1&sel=2).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2021,57.1,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Demographic and Health Survey 2021 (Key indicators),,,EOF: End of fieldwork,,2005-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2021,84,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Definition includes other cadres that is not in alignment with the standard definition (Doctor, Nurse/Midwife, Caregiver/Warden)",,Enquête Démographique et de Santé 2021; Rapport des indicateurs-clés,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COD: Democratic Republic of the Congo,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2018,42.9,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2017-2018,,,EOF: End of fieldwork,,2007-2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COD: Democratic Republic of the Congo,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,85.2,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,INS; Enquête par grappes à indicateurs multiples; 2017-2018; rapport de résultats de l'enquête. Kinshasa; République Démocratique du Congo; 2019.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2001-2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DNK: Denmark,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,95.3,0: Units,PCNT: %,RP: Reported,F: Free,,,,Institutional Birth (IB): includes all deliveries that occurred at a health facility,,Det Medicinske Fødselsregister (MFR); MFR-kuben; Institutional deliveries [online database]. Copenhagen: Sundhedsdatastyrelsen [National Board of Health Data; Denmark]; 2019 (https://www.esundhed.dk/Registre/Det-medicinske-foedselsregister/Foedte-og-foedsler-1997-og-frem#tabpanel61119A72216248AC86DB508579760DED; accessed 12 February 2020; in Danish).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DMA: Dominica,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,100,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Trained personnel),,PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington; DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos; accessed 30 December 2021).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DMA: Dominica,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,100,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Trained personnel),,PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington; DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos; accessed 30 December 2021).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DMA: Dominica,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2020,100,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Trained personnel),,PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington; DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos; accessed 30 December 2021).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DOM: Dominican Republic,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2019,92.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2019,,,EOF: End of fieldwork,,2002-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DOM: Dominican Republic,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,99.7,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Trained personnel),,PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington; DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos; accessed 30 December 2021).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DOM: Dominican Republic,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,99.2,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Definition includes other cadres that is not in alignment with the standard definition (Médico general (17.2%), Enfermera o comadrona(31.4%), Ginecóloga u Obstetra (49.8%), Médico de otra especialidad (0.8%))",,Encuesta Nacional de Hogares de Propósitos Múltiples con Metodología de Encuestas de Índicadores Múltiples por Conglomerado (ENHOGAR MICS 2019),Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ECU: Ecuador,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,95.9,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife (Doctors, obstetrician and nurse)",,Estadísticas Vitales: Registro Estadístico de Nacidos Vivos y Defunciones 2020. Quito: Instituto Nacional de Estadística y Censos (INEC); 2021 (in Spanish).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ECU: Ecuador,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,97.2,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife (Doctors, obstetrician and nurse)",,Estadísticas Vitales: Registro Estadístico de Nacidos Vivos y Defunciones 2020. Quito: Instituto Nacional de Estadística y Censos (INEC); 2021 (in Spanish).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ECU: Ecuador,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2020,99.4,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife (Doctors, obstetrician and nurse)",,Registro Estadístico de Nacidos Vivos; Instituto Nacional de Estadística y Censos,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,EGY: Egypt,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2021,89.9,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Egypt Family Health Survey 2021 (Key findings),,,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,EGY: Egypt,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2021,97.1,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Egypt Family Health Survey (EFHS) 2021.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SLV: El Salvador,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,99.9,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Informe de Labores 2018-2019. San Salvador: Ministerio de Salud de El Salvador; 2019 (in Spanish).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2003-2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,EST: Estonia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,99.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Estonian Medical Birth Registry (EMBR). Skilled birth attendant; 1992-2019. Tallinn: National Institute for Health Development [Estonia]; 2020,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,EST: Estonia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,99.7,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Estonian Medical Birth Registry (EMBR). Skilled birth attendant; 1992-2019. Tallinn: National Institute for Health Development [Estonia]; 2020,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,EST: Estonia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2020,99.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Estonian Medical Birth Registry (EMBR). Skilled birth attendant; 2020. Tallinn: National Institute for Health Development [Estonia]; 2021,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ETH: Ethiopia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2019,43,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Demographic and Health Survey (Mini) 2019,,,EOF: End of fieldwork,,2000-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ETH: Ethiopia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,49.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Ethiopian Public Health Institute (EPHI) [Ethiopia] and ICF. 2019. Ethiopia Mini Demographic andHealth Survey 2019: Key Indicators. Rockville; Maryland; USA: EPHI and ICF.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FJI: Fiji,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2021,88.7,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2021,,,EOF: End of fieldwork,,2013-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FJI: Fiji,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2021,99.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife (Medical doctor, nurse, midwife)",,Fiji Bureau of Statistics. 2022. Fiji Multiple Indicator Cluster Survey 2021; Survey Findings Report. Suva; Fiji: Fiji Bureau of Statistics.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FIN: Finland,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,99.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Skilled health personnel),,Statistics Finland: https://pxnet2.stat.fi/PXWeb/pxweb/en/SDG/; last accessed 29/12/2021,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FIN: Finland,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,99.5,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Skilled health personnel),,Statistics Finland: https://pxnet2.stat.fi/PXWeb/pxweb/en/SDG/; last accessed 29/12/2021,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FIN: Finland,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2020,99.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Skilled health personnel),,Statistics Finland: https://pxnet2.stat.fi/PXWeb/pxweb/en/SDG/; last accessed 29/12/2021,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FIN: Finland,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2021,99.5,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Skilled health personnel),,Statistics Finland: https://pxnet2.stat.fi/PXWeb/pxweb/en/SDG/,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FRA: France,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,98.1,0: Units,PCNT: %,RP: Reported,F: Free,,,,Institutional Birth (IB): includes all deliveries that occurred at a health facility,,T64: Nés vivants selon la condition de l'accouchement et le groupe d'âges de la mère. France métropolitaine. Année 2018 [website]. Paris: Institut National de la Statistique et des Études Économiques (INSEE) [National Institute of Statistics and Economic Studies]; 2019 (https://www.insee.fr/fr/statistiques/3576469?sommaire=3576483; accessed 12 February 2020; in French).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2001-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FRA: France,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,97.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,Institutional Birth (IB): includes all deliveries that occurred at a health facility,,T64: Nés vivants selon la condition de l'accouchement et le groupe d'âges de la mère. France métropolitaine. Année 2018 [website]. Paris: Institut National de la Statistique et des Études Économiques (INSEE) [National Institute of Statistics and Economic Studies]; 2020 (https://www.insee.fr/fr/statistiques/3576469?sommaire=3576483); accessed 28 September 2021; (in French).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2001-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FRA: France,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2020,98.2,0: Units,PCNT: %,RP: Reported,F: Free,,,,Institutional Birth (IB): includes all deliveries that occurred at a health facility,,T64: Nés vivants selon la condition de l'accouchement et le groupe d'âges de la mère. France métropolitaine. Année 2020 [website]. Paris: Institut National de la Statistique et des Études Économiques (INSEE) [National Institute of Statistics and Economic Studies]; 2020 (https://www.insee.fr/fr/statistiques/3576469?sommaire=3576483); accessed 21 September 2022; (in French).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2001-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2018,75.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2018,,,EOF: End of fieldwork,,2006-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GMB: Gambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2020,78.5,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,The Gambia Demographic and Health Survey 2019-20,Statcompiler,,EOF: End of fieldwork,,2006-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,82.7,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Definition includes other cadres that is not in alignment with the standard definition (Medical doctor, nurse/midwife, auxiliary nurse)",,The Gambia Multiple Indicator Cluster Survey 2018; Survey Findings Report. Banjul: The Gambia Bureau of Statistics (GBOS); 2019.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GMB: Gambia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2020,83.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Gambia Bureau of Statistics (GBoS) and ICF. 2021. The Gambia Demographic and Health Survey 2019-20. Banjul; The Gambia and Rockville; Maryland; USA: GBoS and ICF.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2020,Y15T49: 15 to 49 years old
